Time_1,CSA_1,CVP_1,Time_4,CSA_4,CVP_4,Time_5,CSA_5,CVP_5,Time_8,CSA_8,CVP_8,Time_10,CSA_10,CVP_10,Time_15,CSA_15,CVP_15,Time_18,CSA_18,CVP_18,Time_19,CSA_19,CVP_19,Time_20,CSA_20,CVP_20,Time_23,CSA_23,CVP_23,Time_24,CSA_24,CVP_24,Time_25,CSA_25,CVP_25,Time_28,CSA_28,CVP_28,Time_30,CSA_30,CVP_30,Time_31,CSA_31,CVP_31,Time_34,CSA_34,CVP_34,Time_38,CSA_38,CVP_38,Time_39,CSA_39,CVP_39,Time_40,CSA_40,CVP_40,Time_42,CSA_42,CVP_42,Time_44,CSA_44,CVP_44,Time_46,CSA_46,CVP_46,Time_47,CSA_47,CVP_47,Time_48,CSA_48,CVP_48,Time_49,CSA_49,CVP_49,Time_50,CSA_50,CVP_50,Time_51,CSA_51,CVP_51,Time_52,CSA_52,CVP_52,Time_53,CSA_53,CVP_53,Time_54,CSA_54,CVP_54,Time_55,CSA_55,CVP_55,Time_56,CSA_56,CVP_56,Time_57,CSA_57,CVP_57,Time_58,CSA_58,CVP_58
1.139130435,1.846826127,4.611159495,0.922535211,0.180783797,9.019129227,1.0234375,1.763504664,11.90177307,1.139130435,0.257365243,0.407290621,1.31,1.425698092,9.810239206,1.129310345,0.352347377,3.777302611,1.007692308,1.465620595,9.986506438,0.766081871,0.407825761,0.240666291,1.212962963,1.466986406,5.819774278,0.929078014,1.857236763,6.132587283,1.31,1.367707271,1.845583471,1.27184466,0.686304453,4.820308136,1.06504065,1.450516922,9.091088376,0.501915709,0.332887963,6.54595687,0.51372549,1.101958126,9.501014543,0.922535211,0.429038098,9.392245014,1.212962963,1.016169006,2.383519653,1.523255814,0.511655269,11.28996821,1.0234375,1.874798938,7.494217976,0.515748032,0.546763373,5.713803381,0.803680982,0.445784587,3.99292526,1.015503876,1.322114505,9.087968749,1.6375,0.95119364,6.145600536,2.079365079,0.31264856,2.51400398,1.323232323,1.214108085,1.880787882,1.091666667,1.346784764,9.885231421,0.59009009,0.867191914,9.995066332,0.459649123,0.479718483,3.831634959,0.393393393,0.871765643,8.257916285,0.813664596,1.254684606,8.168957294,0.445578231,1.150364472,6.665278953,0.632850242,0.405540888,4.22495153,0.372159091,1.31911121,5.290241151,0.536885246,1.060509708,7.440289946
1.147826087,1.847187007,4.515560368,0.929577465,0.182056612,8.861595057,1.03125,1.773618825,11.93462486,1.147826087,0.25731235,0.129846492,1.32,1.415469331,9.865144101,1.137931035,0.351244211,3.769225457,1.015384615,1.47096064,9.982077443,0.771929825,0.40712353,0.236578283,1.222222222,1.467863579,5.775013446,0.936170213,1.864071756,6.065553806,1.32,1.374410867,1.90383635,1.281553398,0.679721082,4.655731904,1.073170732,1.449526345,9.213033126,0.505747126,0.335412322,6.472440272,0.517647059,1.102013137,9.420649181,0.929577465,0.437415359,9.377692431,1.222222222,1.015618985,2.509192829,1.534883721,0.509387751,11.37723624,1.03125,1.874116679,7.530358095,0.519685039,0.549539758,5.351026067,0.809815951,0.445953953,4.096551046,1.023255814,1.318595844,9.084797969,1.65,0.951202519,6.189223969,2.095238095,0.313779563,2.461439951,1.333333333,1.212236371,2.010726435,1.1,1.346903917,9.792302281,0.594594595,0.866701461,9.991671571,0.463157895,0.480238458,3.832691533,0.396396396,0.872214021,8.257009995,0.819875776,1.256235248,8.23674628,0.448979592,1.147726832,6.704233832,0.637681159,0.407249367,4.205081005,0.375,1.321000323,5.239258178,0.540983607,1.062052374,7.432189719
1.156521739,1.847126917,4.454863758,0.936619718,0.183329427,8.523699217,1.0390625,1.783732986,11.98785644,1.156521739,0.257246681,0.042604493,1.33,1.405020748,9.889718367,1.146551724,0.350234735,3.716802467,1.023076923,1.476248333,9.973906432,0.777777778,0.406523784,0.220657761,1.231481482,1.469165904,5.684004713,0.943262411,1.870538433,5.987508704,1.33,1.380745925,1.91886281,1.291262136,0.671754929,4.464553729,1.081300813,1.449340907,9.44598813,0.509578544,0.337936682,6.398923675,0.521568628,1.102070241,9.340283819,0.936619718,0.445191979,9.363139849,1.231481482,1.015039698,2.675608121,1.546511628,0.507208867,11.38755618,1.0390625,1.872725416,7.568309847,0.523622047,0.55230347,4.901385846,0.81595092,0.446131574,4.200176832,1.031007752,1.315299375,9.085051879,1.6625,0.951673965,6.213509326,2.111111111,0.314839125,2.40763474,1.343434343,1.210422128,2.151452987,1.108333333,1.347078168,9.699373141,0.599099099,0.866237688,9.982762976,0.466666667,0.480758433,3.833795532,0.399399399,0.8726624,8.256103705,0.826086957,1.25857672,8.290643741,0.452380952,1.14526455,6.750323657,0.642512077,0.408968052,4.182049695,0.377840909,1.322917126,5.188275205,0.545081967,1.063549911,7.415067249
1.165217391,1.846119643,4.472697807,0.943661972,0.185701959,8.185803378,1.046875,1.791168886,12.05428083,1.165217391,0.257164115,0.018401872,1.34,1.39435234,9.901920977,1.155172414,0.34922526,3.509819855,1.030769231,1.481358463,9.958516776,0.783625731,0.40597731,0.198939383,1.240740741,1.470736746,5.56701445,0.95035461,1.876902341,5.898183398,1.34,1.386710162,1.92752372,1.300970874,0.662915353,4.255013629,1.089430894,1.449920462,9.866568258,0.513409962,0.340903927,6.325407077,0.525490196,1.102153357,9.18917955,0.943661972,0.452123073,9.202876649,1.240740741,1.014404263,2.842023414,1.558139535,0.50512377,11.39787613,1.046875,1.871116983,7.606261598,0.527559055,0.555005242,4.451745625,0.82208589,0.446313025,4.304929254,1.03875969,1.312553715,9.094543117,1.675,0.95258562,6.235133834,2.126984127,0.315756448,2.35170179,1.353535354,1.208680138,2.32454354,1.116666667,1.347273807,9.453762587,0.603603604,0.865788039,9.971183445,0.470175439,0.481278408,3.834750161,0.402402402,0.873114531,8.259107955,0.832298137,1.261008572,8.330890619,0.455782313,1.142802267,6.820876157,0.647342995,0.410696158,4.157964791,0.380681818,1.325077596,5.150915456,0.549180328,1.065047448,7.397944779
1.173913044,1.845112369,4.493923508,0.950704225,0.188789306,7.847907538,1.0546875,1.796441576,12.11701136,1.173913044,0.257066574,0.073893126,1.35,1.383683933,9.905439697,1.163793103,0.348408728,3.232277419,1.038461539,1.486024686,9.939487174,0.789473684,0.405575435,0.167486725,1.25,1.472920431,5.448141551,0.957446809,1.882923684,5.787579237,1.35,1.392216584,1.933707907,1.310679612,0.65353973,4.059779318,1.097560976,1.451101056,10.25298987,0.517241379,0.344555632,6.2556763,0.529411765,1.102236474,9.019389532,0.950704225,0.458598026,9.021797647,1.25,1.013601804,2.985319627,1.569767442,0.503118156,11.37868854,1.0546875,1.869522165,7.634102989,0.531496063,0.557408765,4.002105404,0.828220859,0.446495382,4.411418572,1.046511628,1.310358866,9.107993209,1.6875,0.953865452,6.242870463,2.142857143,0.31652986,2.274435644,1.363636364,1.207041207,2.497634094,1.125,1.34748014,8.826448496,0.608108108,0.865398656,9.958522436,0.473684211,0.482590444,3.835397974,0.405405405,0.8735676,8.277244292,0.838509317,1.264024051,8.352509666,0.459183674,1.140420488,6.891428656,0.652173913,0.412424265,4.129654615,0.383522727,1.327238066,5.115559122,0.553278689,1.066348457,7.376592906
1.182608696,1.843595953,4.547030732,0.957746479,0.191876653,7.51978689,1.0625,1.801714266,12.13592491,1.182608696,0.256970111,0.401896367,1.36,1.373237122,9.917208718,1.172413793,0.347592197,2.857519856,1.046153846,1.490409892,9.916502767,0.795321637,0.405182623,0.132349424,1.259259259,1.475275084,5.341543753,0.964539007,1.888770615,5.669133365,1.36,1.397388211,1.936451621,1.32038835,0.643435908,3.953649242,1.105691057,1.452757334,10.47757904,0.521072797,0.348207337,6.207398503,0.533333333,1.102302905,8.849599515,0.957746479,0.464561128,8.811021022,1.259259259,1.01270072,3.12861584,1.581395349,0.501196133,11.35950095,1.0625,1.868099092,7.66194438,0.535433071,0.559812287,3.540919296,0.834355828,0.446677061,4.51790789,1.054263566,1.309255511,9.116498121,1.7,0.955416374,6.24999898,2.158730159,0.317156269,2.188452103,1.373737374,1.205545135,2.721430099,1.133333333,1.347645691,8.199134406,0.612612613,0.865065074,9.947463352,0.477192983,0.484008087,3.836045787,0.408408408,0.874020669,8.295380629,0.844720497,1.267156255,8.360125115,0.462585034,1.138280214,6.970640945,0.657004831,0.414146762,4.100499385,0.386363636,1.329398536,5.08715757,0.557377049,1.067635595,7.355241034
1.191304348,1.841170354,4.600137955,0.964788732,0.194964,7.192437968,1.0703125,1.802976692,12.12103295,1.191304348,0.256886825,0.824474348,1.37,1.362790311,9.936023082,1.181034483,0.346986284,2.491212707,1.053846154,1.494420407,9.869823726,0.801169591,0.404898586,0.093385765,1.268518519,1.478170918,5.259099661,0.971631206,1.89437971,5.528555069,1.37,1.402470886,1.915562411,1.330097087,0.632814502,3.934734843,1.113821138,1.454880671,10.56862498,0.524904215,0.352037719,6.159120707,0.537254902,1.10233989,8.679809497,0.964788732,0.469816816,8.584688499,1.268518519,1.011605247,3.20535721,1.593023256,0.499404284,11.32230681,1.0703125,1.866975513,7.679242671,0.539370079,0.561907975,3.069630535,0.840490798,0.446857582,4.611946243,1.062015504,1.308553537,9.120956977,1.7125,0.957214648,6.254467006,2.174603175,0.317615126,2.101998918,1.383838384,1.204269009,2.945226104,1.141666667,1.347798498,7.571820315,0.617117117,0.864807578,9.932874102,0.480701754,0.485425731,3.836174647,0.411411411,0.874436696,8.320655716,0.850931677,1.270794457,8.35635178,0.465986395,1.136139941,7.051323765,0.661835749,0.415867488,4.065474483,0.389204546,1.3316508,5.063102758,0.56147541,1.068797222,7.339343355
1.2,1.838744755,4.659218789,0.971830986,0.198486608,6.865089045,1.078125,1.8034165,12.08341599,1.2,0.256827465,1.325738644,1.38,1.353168324,9.956436213,1.189655172,0.346380372,2.169997786,1.061538462,1.498094036,9.816745561,0.807017544,0.404614548,0.061915777,1.277777778,1.481246384,5.182204267,0.978723404,1.899810586,5.373513171,1.38,1.407497942,1.902290847,1.339805825,0.621983045,4.101204754,1.12195122,1.456809863,10.61906527,0.528735632,0.356314794,6.11084291,0.541176471,1.102376875,8.501058663,0.971830986,0.474845576,8.444327242,1.277777778,1.010161166,3.282098579,1.604651163,0.497711342,11.28511267,1.078125,1.866099342,7.696540962,0.543307087,0.563613229,2.598341775,0.846625767,0.447035232,4.701173995,1.069767442,1.308252944,9.017197752,1.725,0.958872031,6.258857169,2.190476191,0.317905592,1.99704419,1.393939394,1.20323679,3.183870163,1.15,1.347692796,6.945455116,0.621621622,0.864671822,9.916357436,0.484210526,0.48729002,3.836178045,0.414414414,0.874841829,8.36954359,0.857142857,1.274584458,8.347510144,0.469387755,1.134112087,7.131702699,0.666666667,0.417588214,4.029915974,0.392045455,1.333991186,5.042411801,0.565573771,1.069587775,7.323445676
1.208695652,1.835616102,4.71907879,0.978873239,0.203010317,6.655179479,1.0859375,1.803444536,12.02783703,1.208695652,0.25678735,1.590675686,1.39,1.344371163,9.979622233,1.198275862,0.345976241,1.81032252,1.069230769,1.501514999,9.75745806,0.812865497,0.404323739,0.039755475,1.287037037,1.484606266,5.105764928,0.985815603,1.905130073,5.196556725,1.39,1.412416968,1.919719355,1.349514563,0.61134585,4.389031164,1.130081301,1.457777145,10.61965904,0.53256705,0.360591869,6.062565113,0.545098039,1.102372494,8.322172059,0.978873239,0.479665256,8.414500468,1.287037037,1.007813616,3.334998891,1.61627907,0.496113842,11.23310026,1.0859375,1.86540605,7.705079354,0.547244095,0.565318483,2.127053015,0.852760736,0.44718611,4.788777222,1.07751938,1.308718209,8.751111404,1.7375,0.959976301,6.263086044,2.206349206,0.317972695,1.863720429,1.404040404,1.202449717,3.427463574,1.158333333,1.34754401,6.319248066,0.626126126,0.864617548,9.898530845,0.487719298,0.489551328,3.8357778,0.417417417,0.875246961,8.418431463,0.863354037,1.278913037,8.332388221,0.472789116,1.132571387,7.211757486,0.671497585,0.419277995,3.939508511,0.394886364,1.336331573,5.027727729,0.569672131,1.070378327,7.308738256
1.217391304,1.83147681,4.749326841,0.985915493,0.207534025,6.581252325,1.09375,1.800013692,11.97300505,1.217391304,0.25687882,1.732864389,1.4,1.335574001,10.01337596,1.206896552,0.345572111,1.411021444,1.076923077,1.504547502,9.684009118,0.81871345,0.404032046,0.040611255,1.296296296,1.48820277,5.010935879,0.992907801,1.910592201,5.006925068,1.4,1.417095739,1.973628957,1.359223301,0.601693953,4.722394774,1.138211382,1.457810684,10.55080097,0.536398467,0.364881932,6.060573407,0.549019608,1.102345733,8.143285455,0.985915493,0.484139382,8.386261118,1.296296296,1.004876695,3.387899202,1.627906977,0.494634512,11.18108785,1.09375,1.864835941,7.713617746,0.551181102,0.566509792,1.77424693,0.858895706,0.447302393,4.844972948,1.085271318,1.309415059,8.448717003,1.75,0.960444368,6.269404495,2.222222222,0.317700788,1.709707021,1.414141414,1.20190169,3.647769897,1.166666667,1.346988191,5.693041015,0.630630631,0.864807719,9.880158021,0.49122807,0.491812636,3.834355835,0.42042042,0.875609071,8.469709947,0.869565217,1.283466839,8.293499242,0.476190476,1.131030686,7.290289553,0.676328502,0.420967775,3.842826152,0.397727273,1.338671959,5.013822725,0.573770492,1.070871166,7.294030836
1.226086957,1.827337518,4.765191944,0.992957747,0.212057733,6.507325171,1.1015625,1.796582849,11.95565747,1.226086957,0.257094885,1.771569047,1.41,1.328827932,10.12565984,1.215517241,0.345360334,1.027968726,1.084615385,1.50742462,9.603880378,0.824561404,0.403767288,0.062233283,1.305555556,1.491929416,4.94271236,1,1.91608829,4.693081711,1.41,1.421571791,2.061164219,1.368932039,0.592796375,5.01878178,1.146341463,1.4566318,10.39066263,0.540229885,0.369231739,6.070153224,0.552941177,1.102318973,7.979904009,0.992957747,0.488334917,8.363691134,1.305555556,1.001389581,3.428622166,1.639534884,0.493274688,11.05182208,1.1015625,1.864195619,7.714062307,0.55511811,0.567490919,1.697900422,0.865030675,0.447385389,4.901168674,1.093023256,1.310343494,8.037398446,1.7625,0.960341371,6.278125959,2.238095238,0.317031639,1.555431463,1.424242424,1.201587443,3.844789133,1.175,1.346390131,5.238582387,0.635135135,0.865036169,9.862926024,0.494736842,0.494194334,3.832933871,0.423423423,0.87595649,8.527830522,0.875776398,1.288324545,8.237822215,0.479591837,1.129613352,7.356857383,0.68115942,0.422645433,3.677119941,0.400568182,1.341148254,5.006734566,0.577868853,1.07114072,7.280691509
